timestamp,action,price,shares,cash_after
2026-01-08 12:15:00-05:00,BUY,257.3900146484375,38.0,219.179443359375
2026-01-08 13:15:00-05:00,SELL,256.9844970703125,38.0,9984.59033203125
2026-01-08 15:35:00-05:00,BUY,258.57000732421875,38.0,158.9300537109375
2026-01-09 10:05:00-05:00,SELL,257.4049987792969,38.0,9940.320007324219
2026-01-09 12:45:00-05:00,BUY,259.0199890136719,38.0,97.5604248046875
2026-01-09 13:45:00-05:00,SELL,259.25,38.0,9949.060424804688
2026-01-09 14:45:00-05:00,BUY,259.9649963378906,38.0,70.39056396484375
2026-01-09 15:45:00-05:00,SELL,259.7449951171875,38.0,9940.700378417969
2026-01-12 11:25:00-05:00,BUY,260.2300109863281,38.0,51.9599609375
2026-01-12 12:40:00-05:00,SELL,260.5299987792969,38.0,9952.099914550781
2026-01-13 12:10:00-05:00,BUY,260.739990234375,38.0,43.98028564453125
2026-01-13 13:10:00-05:00,SELL,260.8500061035156,38.0,9956.280517578125
2026-01-14 10:05:00-05:00,BUY,259.9599914550781,38.0,77.80084228515625
2026-01-14 11:05:00-05:00,SELL,258.1199951171875,38.0,9886.360656738281
2026-01-14 15:05:00-05:00,BUY,259.30999755859375,38.0,32.58074951171875
2026-01-15 10:35:00-05:00,SELL,260.2900085449219,38.0,9923.60107421875
2026-01-16 14:10:00-05:00,BUY,256.2699890136719,38.0,185.34149169921875
2026-01-16 15:10:00-05:00,SELL,256.1549987792969,38.0,9919.2314453125
2026-01-21 10:30:00-05:00,BUY,247.7899932861328,40.0,7.6317138671875
2026-01-21 11:35:00-05:00,SELL,246.1826934814453,40.0,9854.939453125
2026-01-21 14:40:00-05:00,BUY,249.139892578125,39.0,138.483642578125
2026-01-22 09:30:00-05:00,SELL,250.0099945068359,39.0,9888.873428344725
2026-01-23 11:05:00-05:00,BUY,249.1750030517578,39.0,171.04830932617006
2026-01-23 12:15:00-05:00,SELL,248.3300018310547,39.0,9855.918380737303
2026-01-26 09:30:00-05:00,BUY,251.18499755859375,39.0,59.70347595214662
2026-01-26 12:05:00-05:00,SELL,254.80999755859375,39.0,9997.293380737303
2026-01-26 14:30:00-05:00,BUY,255.9900054931641,39.0,13.683166503902612
2026-01-26 15:35:00-05:00,SELL,255.625,39.0,9983.058166503903
2026-01-27 10:05:00-05:00,BUY,260.82501220703125,38.0,71.70770263671511
2026-01-27 11:50:00-05:00,SELL,260.9649963378906,38.0,9988.377563476559
2026-01-28 15:15:00-05:00,BUY,256.3494873046875,38.0,247.09704589843386
2026-01-29 10:10:00-05:00,SELL,256.3299865722656,38.0,9987.636535644528
2026-01-29 12:40:00-05:00,BUY,257.05999755859375,38.0,219.3566284179651
2026-01-29 14:25:00-05:00,SELL,258.1449890136719,38.0,10028.866210937496
2026-01-30 11:55:00-05:00,BUY,256.1050109863281,39.0,40.77078247069949
2026-01-30 12:55:00-05:00,SELL,254.85499572753903,39.0,9980.115615844721
2026-01-30 13:55:00-05:00,BUY,257.3500061035156,38.0,200.81538391112736
2026-02-02 12:10:00-05:00,SELL,264.364990234375,38.0,10246.685012817377
2026-02-02 13:45:00-05:00,BUY,265.5400085449219,38.0,156.1646881103461
2026-02-03 10:20:00-05:00,SELL,268.6499938964844,38.0,10364.864456176752
2026-02-03 14:15:00-05:00,BUY,271.31500244140625,38.0,54.894363403314856
2026-02-03 15:15:00-05:00,SELL,268.95001220703125,38.0,10274.994827270502
2026-02-04 09:45:00-05:00,BUY,277.6400146484375,37.0,2.3142852783148555
2026-02-04 11:45:00-05:00,SELL,274.57000732421875,37.0,10161.404556274409
2026-02-04 15:30:00-05:00,BUY,277.2900085449219,36.0,178.9642486572211
2026-02-05 10:00:00-05:00,SELL,275.5,36.0,10096.964248657221
2026-02-05 14:15:00-05:00,BUY,277.1700134277344,36.0,118.8437652587836
2026-02-05 15:45:00-05:00,SELL,276.2900085449219,36.0,10065.284072875971
