timestamp,action,price,shares,cash_after
2026-01-08 12:15:00-05:00,BUY,257.3900146484375,38.0,214.2890330810551
2026-01-08 13:15:00-05:00,SELL,256.9844970703125,38.0,9974.817216308595
2026-01-08 15:35:00-05:00,BUY,258.57000732421875,38.0,144.24410784912288
2026-01-09 10:05:00-05:00,SELL,257.4049987792969,38.0,9920.743366485598
2026-01-09 12:45:00-05:00,BUY,259.0199890136719,38.0,73.06240417480694
2026-01-09 13:45:00-05:00,SELL,259.25,38.0,9919.636654174807
2026-01-09 14:45:00-05:00,BUY,259.9649963378906,38.0,36.02745840454372
2026-01-09 15:45:00-05:00,SELL,259.7449951171875,38.0,9901.402117950442
2026-01-12 11:25:00-05:00,BUY,260.2300109863281,38.0,7.717330261231837
2026-01-12 12:40:00-05:00,SELL,260.5299987792969,38.0,9902.907213897706
2026-01-13 12:10:00-05:00,BUY,260.739990234375,37.0,250.70388540649583
2026-01-13 13:10:00-05:00,SELL,260.8500061035156,37.0,9897.32838612366
2026-01-14 10:05:00-05:00,BUY,259.9599914550781,38.0,13.909470993045034
2026-01-14 11:05:00-05:00,SELL,258.1199951171875,38.0,9817.565005538943
2026-01-14 15:05:00-05:00,BUY,259.30999755859375,37.0,218.29786091614005
2026-01-15 10:35:00-05:00,SELL,260.2900085449219,37.0,9844.212811920168
2026-01-16 14:10:00-05:00,BUY,256.2699890136719,38.0,101.08409960937752
2026-01-16 15:10:00-05:00,SELL,256.1549987792969,38.0,9830.107108245853
2026-01-21 10:30:00-05:00,BUY,247.7899932861328,39.0,161.4654652175941
2026-01-21 11:35:00-05:00,SELL,246.1826934814453,39.0,9757.789948471072
2026-01-21 14:40:00-05:00,BUY,249.139892578125,39.0,36.47591001892397
2026-01-22 09:30:00-05:00,SELL,250.0099945068359,39.0,9781.99050089264
2026-01-23 11:05:00-05:00,BUY,249.1750030517578,39.0,59.306469314575224
2026-01-23 12:15:00-05:00,SELL,248.3300018310547,39.0,9739.334105690003
2026-01-26 09:30:00-05:00,BUY,251.18499755859375,38.0,189.53168350982742
2026-01-26 12:05:00-05:00,SELL,254.80999755859375,38.0,9867.470200782776
2026-01-26 14:30:00-05:00,BUY,255.9900054931641,38.0,134.98618193816947
2026-01-26 15:35:00-05:00,SELL,255.625,38.0,9843.87930693817
2026-01-27 10:05:00-05:00,BUY,260.82501220703125,37.0,188.5285925521839
2026-01-27 11:50:00-05:00,SELL,260.9649963378906,37.0,9839.405604621887
2026-01-28 15:15:00-05:00,BUY,256.3494873046875,38.0,93.25444678497297
2026-01-29 10:10:00-05:00,SELL,256.3299865722656,38.0,9828.923666786193
2026-01-29 12:40:00-05:00,BUY,257.05999755859375,38.0,55.75961960601671
2026-01-29 14:25:00-05:00,SELL,258.1449890136719,38.0,9860.364447334288
2026-01-30 11:55:00-05:00,BUY,256.1050109863281,38.0,123.50803464507953
2026-01-30 12:55:00-05:00,SELL,254.85499572753903,38.0,9803.155627372738
2026-01-30 13:55:00-05:00,BUY,257.3500061035156,38.0,18.965745323177543
2026-02-02 12:10:00-05:00,SELL,264.364990234375,38.0,10059.812439414975
2026-02-02 13:45:00-05:00,BUY,265.5400085449219,37.0,229.91963309478342
2026-02-03 10:20:00-05:00,SELL,268.6499938964844,37.0,10164.99938237762
2026-02-03 14:15:00-05:00,BUY,271.31500244140625,37.0,121.32496450042345
2026-02-03 15:15:00-05:00,SELL,268.95001220703125,37.0,10067.49984093475
2026-02-04 09:45:00-05:00,BUY,277.6400146484375,36.0,67.46179332732754
2026-02-04 11:45:00-05:00,SELL,274.57000732421875,36.0,9947.039796867366
2026-02-04 15:30:00-05:00,BUY,277.2900085449219,35.0,237.03692264556412
2026-02-05 10:00:00-05:00,SELL,275.5,35.0,9874.715672645563
2026-02-05 14:15:00-05:00,BUY,277.1700134277344,35.0,168.9147274398747
2026-02-05 15:45:00-05:00,SELL,276.2900085449219,35.0,9834.229951362604
