timestamp,action,price,shares,cash_after
2026-01-09 10:15:00-05:00,BUY,258.4599914550781,38.0,178.52032470703125
2026-01-09 13:15:00-05:00,SELL,259.1199951171875,38.0,10025.080139160156
2026-01-12 09:45:00-05:00,BUY,258.3299865722656,38.0,208.5406494140625
2026-01-12 15:45:00-05:00,SELL,260.2099914550781,38.0,10096.520324707031
2026-01-15 10:00:00-05:00,BUY,260.239990234375,38.0,207.40069580078125
2026-01-15 13:30:00-05:00,SELL,259.6600036621094,38.0,10074.480834960938
2026-01-21 15:15:00-05:00,BUY,248.38279724121097,40.0,139.16894531249818
2026-01-22 15:00:00-05:00,SELL,249.05999755859375,40.0,10101.568847656248
2026-01-26 09:45:00-05:00,BUY,252.7599945068359,39.0,243.92906188964844
2026-01-27 15:15:00-05:00,SELL,259.3800048828125,39.0,10359.749252319336
2026-01-29 10:15:00-05:00,BUY,256.8999938964844,40.0,83.74949645996094
2026-01-29 13:15:00-05:00,SELL,257.3800048828125,40.0,10378.949691772461
2026-01-30 09:45:00-05:00,BUY,256.2900085449219,40.0,127.34934997558594
2026-01-30 12:45:00-05:00,SELL,254.85499572753903,40.0,10321.549179077147
2026-01-30 15:45:00-05:00,BUY,259.4800109863281,39.0,201.82875061034974
2026-02-03 15:30:00-05:00,SELL,269.4100036621094,39.0,10708.818893432615
2026-02-04 12:00:00-05:00,BUY,276.489990234375,38.0,202.19926452636537
2026-02-05 09:30:00-05:00,SELL,273.6600036621094,38.0,10601.279403686522
2026-02-05 15:30:00-05:00,BUY,275.45001220703125,38.0,134.17893981933412
2026-02-06 14:00:00-05:00,SELL,277.44000244140625,38.0,10676.899032592772
