timestamp,symbol,price,sma_short,sma_long,band_ratio,position,signal
2026-01-22 15:15:00-05:00,AAPL,248.3699951171875,249.8311996459961,249.64629364013672,0.0007406719449475009,0,HOLD
2026-01-22 15:30:00-05:00,AAPL,248.6300048828125,249.69349975585936,249.6292973836263,0.00025719085422254727,0,HOLD
2026-01-22 15:45:00-05:00,AAPL,248.36000061035156,249.4615005493164,249.55096384684245,-0.0003584971027438885,0,HOLD
2026-01-23 09:30:00-05:00,AAPL,245.83009338378903,249.0245101928711,249.40030008951823,-0.0015067740356055567,0,HOLD
2026-01-23 09:45:00-05:00,AAPL,245.88999938964844,248.5915100097656,249.31720682779948,-0.0029107369975274024,0,HOLD
2026-01-23 10:00:00-05:00,AAPL,245.9499969482422,248.10200958251954,249.24353993733723,-0.004579979706212982,0,HOLD
2026-01-23 10:15:00-05:00,AAPL,247.01010131835935,247.7510192871094,249.2228764851888,-0.005905786895798433,0,HOLD
2026-01-23 10:30:00-05:00,AAPL,248.0399932861328,247.60201873779297,249.16654307047526,-0.006279030536775421,0,HOLD
2026-01-23 10:45:00-05:00,AAPL,248.97999572753903,247.6120178222656,249.1373764038086,-0.006122560185713091,0,HOLD
2026-01-23 11:00:00-05:00,AAPL,248.8300018310547,247.58901824951172,249.10304311116536,-0.006077905924970919,0,HOLD
2026-01-23 11:15:00-05:00,AAPL,248.3500061035156,247.58701934814454,249.04370981852213,-0.005849135765922711,0,HOLD
2026-01-23 11:30:00-05:00,AAPL,248.30999755859375,247.55501861572264,248.99637654622396,-0.0057886703031348585,0,HOLD
2026-01-23 11:45:00-05:00,AAPL,248.2400054931641,247.54301910400392,248.96806996663412,-0.0057238298181014995,0,HOLD
2026-01-23 12:00:00-05:00,AAPL,248.0500030517578,247.76501007080077,248.919069925944,-0.004636285421950901,0,HOLD
2026-01-23 12:15:00-05:00,AAPL,248.73989868164065,248.05,248.88706970214844,-0.0033632510646301383,0,HOLD
2026-01-23 12:30:00-05:00,AAPL,248.0800018310547,248.26300048828125,248.8337366739909,-0.0022936447177072205,0,HOLD
2026-01-23 12:45:00-05:00,AAPL,247.7899932861328,248.3409896850586,248.77373657226562,-0.001739519987799531,0,HOLD
2026-01-23 13:00:00-05:00,AAPL,247.69769287109375,248.3067596435547,248.7083262125651,-0.0016146084657704762,0,HOLD
2026-01-23 13:15:00-05:00,AAPL,247.92999267578125,248.2017593383789,248.6479924519857,-0.0017946379104305402,0,HOLD
2026-01-23 13:30:00-05:00,AAPL,247.38999938964844,248.0577590942383,248.55199228922527,-0.0019884499433497414,0,HOLD
2026-01-23 13:45:00-05:00,AAPL,247.52000427246097,247.97475891113282,248.46432596842448,-0.001970371623304454,0,HOLD
2026-01-23 14:00:00-05:00,AAPL,247.77000427246097,247.92075958251954,248.38975931803387,-0.0018881605135493188,0,HOLD
2026-01-23 14:15:00-05:00,AAPL,247.4750061035156,247.8442596435547,248.28292643229167,-0.0017668020714932578,0,HOLD
2026-01-23 14:30:00-05:00,AAPL,248.1510009765625,247.85435943603517,248.21462656656902,-0.001451433928440295,0,HOLD
2026-01-23 14:45:00-05:00,AAPL,248.1699981689453,247.79736938476563,248.14629313151042,-0.0014061211325847544,0,HOLD
2026-01-23 15:00:00-05:00,AAPL,248.1855010986328,247.80791931152345,248.0576431274414,-0.0010067168774543609,0,HOLD
2026-01-23 15:15:00-05:00,AAPL,248.19000244140625,247.8479202270508,247.97997639973957,-0.0005325275637412962,0,HOLD
2026-01-23 15:30:00-05:00,AAPL,248.7100067138672,247.94915161132812,247.95264333089193,-1.4082203427659651e-05,0,HOLD
2026-01-23 15:45:00-05:00,AAPL,247.97000122070312,247.95315246582032,247.92230987548828,0.0001244042552988975,0,HOLD
2026-01-26 09:30:00-05:00,AAPL,252.7100067138672,248.4851531982422,248.04397684733073,0.0017786215030046989,0,HOLD
2026-01-26 09:45:00-05:00,AAPL,252.7599945068359,249.0091522216797,248.190310160319,0.0032992507275234288,1,BUY
2026-01-26 10:00:00-05:00,AAPL,253.6820068359375,249.60035247802733,248.35871022542318,0.004999390806455602,1,HOLD
2026-01-26 10:15:00-05:00,AAPL,254.0399932861328,250.25685119628906,248.54804331461588,0.006875161272181676,1,HOLD
2026-01-26 10:30:00-05:00,AAPL,254.9510040283203,250.93685150146484,248.8520736694336,0.008377578700833315,1,HOLD
2026-01-26 10:45:00-05:00,AAPL,254.8000030517578,251.5998519897461,249.1490737915039,0.009836593654340036,1,HOLD
2026-01-26 11:00:00-05:00,AAPL,255.12010192871097,252.2933120727539,249.45474395751953,0.011379090532420462,1,HOLD
2026-01-26 11:15:00-05:00,AAPL,255.0998992919922,252.9843017578125,249.72440388997396,0.01305398197796804,1,HOLD
2026-01-26 11:30:00-05:00,AAPL,255.0,253.6133010864258,249.95640411376954,0.014630139146152028,1,HOLD
2026-01-26 11:45:00-05:00,AAPL,254.86000061035156,254.30230102539062,250.15240427652995,0.016589473768451903,1,HOLD
2026-01-26 12:00:00-05:00,AAPL,254.2899932861328,254.46029968261718,250.33440399169922,0.016481536796894954,1,HOLD
2026-01-26 12:15:00-05:00,AAPL,254.5,254.6343002319336,250.5394037882487,0.0163443210200413,1,HOLD
2026-01-26 12:30:00-05:00,AAPL,254.66000366210935,254.7320999145508,250.75107065836588,0.015876419772535438,1,HOLD
2026-01-26 12:45:00-05:00,AAPL,254.3300018310547,254.76110076904297,250.95407053629557,0.015170227064305705,1,HOLD
2026-01-26 13:00:00-05:00,AAPL,254.2400054931641,254.69000091552735,251.1604039510091,0.014053158495503634,1,HOLD
2026-01-26 13:15:00-05:00,AAPL,254.6499938964844,254.675,251.35740712483724,0.013198707422674373,1,HOLD
2026-01-26 13:30:00-05:00,AAPL,254.58999633789065,254.62198944091796,251.57440694173178,0.012114040280305782,1,HOLD
2026-01-26 13:45:00-05:00,AAPL,255.11000061035156,254.6229995727539,251.8184071858724,0.011137360521907344,1,HOLD
2026-01-26 14:00:00-05:00,AAPL,255.43499755859375,254.66649932861327,252.0763173421224,0.010275388080092568,1,HOLD
2026-01-26 14:15:00-05:00,AAPL,255.94000244140625,254.77449951171874,252.34331766764322,0.009634421337352749,1,HOLD
2026-01-26 14:30:00-05:00,AAPL,256.1300048828125,254.95850067138673,252.63465118408203,0.009198459025367142,1,HOLD
2026-01-26 14:45:00-05:00,AAPL,256.1000061035156,255.11850128173828,252.9206512451172,0.008689879714452568,1,HOLD
2026-01-26 15:00:00-05:00,AAPL,255.8000030517578,255.2325012207031,253.18831787109374,0.008073766462835493,1,HOLD
2026-01-26 15:15:00-05:00,AAPL,255.7250061035156,255.37200164794922,253.46331787109375,0.007530414234639611,1,HOLD
2026-01-26 15:30:00-05:00,AAPL,255.5050048828125,255.49850158691407,253.7084513346354,0.007055540494855756,1,HOLD
2026-01-26 15:45:00-05:00,AAPL,255.4199981689453,255.57550201416015,253.9501180013021,0.0064004066060317,1,HOLD
2026-01-27 09:30:00-05:00,AAPL,260.5899963378906,256.17550201416014,254.363601175944,0.007123270899765394,1,HOLD
2026-01-27 09:45:00-05:00,AAPL,261.4649963378906,256.8110015869141,254.80610097249348,0.00786833834342539,1,HOLD
2026-01-27 10:00:00-05:00,AAPL,260.0299987792969,257.2705017089844,255.18343404134114,0.008178695750701188,1,HOLD
2026-01-27 10:15:00-05:00,AAPL,259.8450012207031,257.66100158691404,255.5792673746745,0.008145160730849772,1,HOLD
2026-01-27 10:30:00-05:00,AAPL,260.3800048828125,258.08600158691405,255.83493398030598,0.008798906277519397,1,HOLD
2026-01-27 10:45:00-05:00,AAPL,260.3399963378906,258.51000061035154,256.0876007080078,0.00945926275089655,1,HOLD
2026-01-27 11:00:00-05:00,AAPL,261.1499938964844,259.04499969482424,256.33653361002604,0.010566055671637856,1,HOLD
