timestamp,action,price,shares,cash_after
2026-01-09 10:15:00-05:00,BUY,258.4599914550781,38.0,173.60958486938398
2026-01-09 13:15:00-05:00,SELL,259.1199951171875,38.0,10015.246119415282
2026-01-12 09:45:00-05:00,BUY,258.3299865722656,38.0,193.79835992431435
2026-01-12 15:45:00-05:00,SELL,260.2099914550781,38.0,10076.834045379637
2026-01-15 10:00:00-05:00,BUY,260.239990234375,38.0,182.76985665893335
2026-01-15 13:30:00-05:00,SELL,259.6600036621094,38.0,10044.91645574951
2026-01-21 15:15:00-05:00,BUY,248.38279724121097,40.0,104.63691015624681
2026-01-22 15:00:00-05:00,SELL,249.05999755859375,40.0,10062.055612548826
2026-01-26 09:45:00-05:00,BUY,252.7599945068359,39.0,199.48700688934332
2026-01-27 15:15:00-05:00,SELL,259.3800048828125,39.0,10310.249287223816
2026-01-29 10:15:00-05:00,BUY,256.8999938964844,40.0,29.111531486511012
2026-01-29 13:15:00-05:00,SELL,257.3800048828125,40.0,10319.164126701355
2026-01-30 09:45:00-05:00,BUY,256.2900085449219,40.0,62.43798473358038
2026-01-30 12:45:00-05:00,SELL,254.85499572753903,40.0,10251.54071392059
2026-01-30 15:45:00-05:00,BUY,259.4800109863281,39.0,126.7604252395613
2026-02-03 15:30:00-05:00,SELL,269.4100036621094,39.0,10628.497072990416
2026-02-04 12:00:00-05:00,BUY,276.489990234375,38.0,116.62413426971398
2026-02-05 09:30:00-05:00,SELL,273.6600036621094,38.0,10510.50473336029
2026-02-05 15:30:00-05:00,BUY,275.45001220703125,38.0,38.170719261170234
2026-02-06 14:00:00-05:00,SELL,277.44000244140625,38.0,10575.619451988221
