timestamp,symbol,price
2026-01-07 09:30:00-05:00,AAPL,262.43499755859375
2026-01-07 09:45:00-05:00,AAPL,261.4100036621094
2026-01-07 10:00:00-05:00,AAPL,262.0398864746094
2026-01-07 10:15:00-05:00,AAPL,262.0299987792969
2026-01-07 10:30:00-05:00,AAPL,261.6199951171875
2026-01-07 10:45:00-05:00,AAPL,261.9898986816406
2026-01-07 11:00:00-05:00,AAPL,261.6400146484375
2026-01-07 11:15:00-05:00,AAPL,261.0837097167969
2026-01-07 11:30:00-05:00,AAPL,262.0000915527344
2026-01-07 11:45:00-05:00,AAPL,262.17999267578125
2026-01-07 12:00:00-05:00,AAPL,262.3399963378906
2026-01-07 12:15:00-05:00,AAPL,262.3599853515625
2026-01-07 12:30:00-05:00,AAPL,262.3599853515625
2026-01-07 12:45:00-05:00,AAPL,262.31500244140625
2026-01-07 13:00:00-05:00,AAPL,261.69000244140625
2026-01-07 13:15:00-05:00,AAPL,261.2200012207031
2026-01-07 13:30:00-05:00,AAPL,261.8500061035156
2026-01-07 13:45:00-05:00,AAPL,262.010009765625
2026-01-07 14:00:00-05:00,AAPL,261.7650146484375
2026-01-07 14:15:00-05:00,AAPL,261.5899963378906
2026-01-07 14:30:00-05:00,AAPL,262.32501220703125
2026-01-07 14:45:00-05:00,AAPL,261.8399963378906
2026-01-07 15:00:00-05:00,AAPL,261.49798583984375
2026-01-07 15:15:00-05:00,AAPL,261.3299865722656
2026-01-07 15:30:00-05:00,AAPL,260.68499755859375
2026-01-07 15:45:00-05:00,AAPL,260.3599853515625
2026-01-08 09:30:00-05:00,AAPL,256.1000061035156
2026-01-08 09:45:00-05:00,AAPL,256.2900085449219
2026-01-08 10:00:00-05:00,AAPL,256.92999267578125
2026-01-08 10:15:00-05:00,AAPL,256.7449951171875
2026-01-08 10:30:00-05:00,AAPL,256.739990234375
2026-01-08 10:45:00-05:00,AAPL,256.69000244140625
2026-01-08 11:00:00-05:00,AAPL,256.1400146484375
2026-01-08 11:15:00-05:00,AAPL,256.1099853515625
2026-01-08 11:30:00-05:00,AAPL,257.8900146484375
2026-01-08 11:45:00-05:00,AAPL,257.69500732421875
2026-01-08 12:00:00-05:00,AAPL,257.2749938964844
2026-01-08 12:15:00-05:00,AAPL,256.7090148925781
2026-01-08 12:30:00-05:00,AAPL,257.159912109375
2026-01-08 12:45:00-05:00,AAPL,257.3900146484375
2026-01-08 13:00:00-05:00,AAPL,256.70001220703125
2026-01-08 13:15:00-05:00,AAPL,257.4800109863281
2026-01-08 13:30:00-05:00,AAPL,257.3299865722656
2026-01-08 13:45:00-05:00,AAPL,256.93499755859375
2026-01-08 14:00:00-05:00,AAPL,256.69000244140625
2026-01-08 14:15:00-05:00,AAPL,256.6000061035156
2026-01-08 14:30:00-05:00,AAPL,257.0199890136719
2026-01-08 14:45:00-05:00,AAPL,257.2300109863281
2026-01-08 15:00:00-05:00,AAPL,257.4200134277344
2026-01-08 15:15:00-05:00,AAPL,258.2799987792969
2026-01-08 15:30:00-05:00,AAPL,258.3100891113281
2026-01-08 15:45:00-05:00,AAPL,259.05999755859375
2026-01-09 09:30:00-05:00,AAPL,258.2900085449219
2026-01-09 09:45:00-05:00,AAPL,256.93499755859375
2026-01-09 10:00:00-05:00,AAPL,258.2900085449219
2026-01-09 10:15:00-05:00,AAPL,258.4599914550781
2026-01-09 10:30:00-05:00,AAPL,257.8305969238281
2026-01-09 10:45:00-05:00,AAPL,257.7699890136719
2026-01-09 11:00:00-05:00,AAPL,258.19000244140625
2026-01-09 11:15:00-05:00,AAPL,256.9599914550781
2026-01-09 11:30:00-05:00,AAPL,256.93499755859375
2026-01-09 11:45:00-05:00,AAPL,257.67999267578125
2026-01-09 12:00:00-05:00,AAPL,258.5799865722656
2026-01-09 12:15:00-05:00,AAPL,258.92999267578125
2026-01-09 12:30:00-05:00,AAPL,258.6400146484375
2026-01-09 12:45:00-05:00,AAPL,258.7607116699219
2026-01-09 13:00:00-05:00,AAPL,258.2900085449219
2026-01-09 13:15:00-05:00,AAPL,259.1199951171875
2026-01-09 13:30:00-05:00,AAPL,259.19000244140625
2026-01-09 13:45:00-05:00,AAPL,259.4800109863281
2026-01-09 14:00:00-05:00,AAPL,259.4800109863281
2026-01-09 14:15:00-05:00,AAPL,259.7300109863281
2026-01-09 14:30:00-05:00,AAPL,259.82000732421875
2026-01-09 14:45:00-05:00,AAPL,259.9700927734375
2026-01-09 15:00:00-05:00,AAPL,259.9800109863281
2026-01-09 15:15:00-05:00,AAPL,259.9649963378906
2026-01-09 15:30:00-05:00,AAPL,259.7770080566406
2026-01-09 15:45:00-05:00,AAPL,259.3500061035156
2026-01-12 09:30:00-05:00,AAPL,257.54998779296875
2026-01-12 09:45:00-05:00,AAPL,258.3299865722656
2026-01-12 10:00:00-05:00,AAPL,259.6300048828125
2026-01-12 10:15:00-05:00,AAPL,260.3500061035156
2026-01-12 10:30:00-05:00,AAPL,259.69000244140625
2026-01-12 10:45:00-05:00,AAPL,259.3900146484375
2026-01-12 11:00:00-05:00,AAPL,260.31500244140625
2026-01-12 11:15:00-05:00,AAPL,260.2300109863281
2026-01-12 11:30:00-05:00,AAPL,259.760009765625
2026-01-12 11:45:00-05:00,AAPL,261.0
2026-01-12 12:00:00-05:00,AAPL,260.5849914550781
2026-01-12 12:15:00-05:00,AAPL,260.60931396484375
2026-01-12 12:30:00-05:00,AAPL,260.5299987792969
2026-01-12 12:45:00-05:00,AAPL,260.67498779296875
2026-01-12 13:00:00-05:00,AAPL,260.75
